순번,지역,자치구,센터유형,우편번호,주소,전화
1,서울,서울특별시,가족센터,4628,서울시 중구 소파로4길 6,02-318-0227
2,서울,강남구,가족센터,6336,서울시 강남구 개포로 617-8,02-3412-2222
3,서울,강동구,가족센터,5292,"서울시 강동구 양재대로 1634, 3층",02-471-0812
4,서울,강북구,가족센터,1064,서울시 강북구 한천로 129길 6,02-987-2567
5,서울,강서구,가족센터,7781,"서울시 강서구 강서로 5길 50, 곰달래 문화복지센터 4층",02-2606-2017
6,서울,관악구,가족센터,8825,서울시 관악구 신림로 3길 35 김삼준문화복지기념관 3층 사무실,02-883-9383 
7,서울,광진구,가족센터,4989,"서울시 광진구 능동로 30길 23, 새마을회관 2층(1센터, 건가)",02-458-0622
8,서울,구로구,가족센터,8383,"서울시 구로구 우마2길 35, 구로구가족종합지원센터 2,3층",02-869-0317
9,서울,금천구,가족센터,8627,서울시 금천구 금하로 11길 40 1층,02-803-7747
10,서울,노원구,가족센터,1857,서울시 노원구 동일로 173가길 94 가온빌딩 3층,02-979-3501
11,서울,도봉구,가족센터,1427,서울시 도봉구 도봉로 552 도봉구민회관 2층,02-995-6800
12,서울,동대문구,가족센터,2589,"서울시 동대문구 청계천로 521, 다사랑행복센터 6~7층(1센터, 건가)",02-957-0760
13,서울,동작구,가족센터,6999,"서울시 동작구 동작대로29길 63-26, 2,3층(1센터)",02-599-3301
14,서울,마포구,가족센터,4027,서울시 마포구 양화로 19 합정오피스빌딩 B2층,02-3142-5482
15,서울,서대문구,가족센터,3677,"서울시 서대문구 증가로 244, 2층(1센터)",02-322-7595
16,서울,서초구,가족센터,6704,"서울시 서초구 방배로10길 10-20, 5층(방배본부, 1센터)",02-576-2851
17,서울,성동구,가족센터,4707,서울시 성동구 무학로 6길 9(홍익동) 3층,02-3395-9445
18,서울,성북구,가족센터,2841,서울시 성북구 안암로 145 고려대학교 라이시움 102호(1센터),02-3290-1660
19,서울,송파구,가족센터,5771,서울시 송파구 양산로 5 송파구보건지소 2층(1센터),02-443-3844
20,서울,양천구,가족센터,8067,서울시 양천구 남부순환로83길 53 (신월6동 행정복합타운 3층) ,02-2065-3400
21,서울,영등포구,가족센터,7356,서울시 영등포구 영등포로84길 24-5 4층,02-2678-2193
22,서울,용산구,가족센터,4400,서울시 용산구 이태원로 224-19 3층,02-797-9184
23,서울,은평구,가족센터,3381,서울시 은평구 은평로21가길 15-17,02-376-3761
24,서울,종로구,가족센터,3105,서울시 종로구 종로53길 29(창신동 197-17) 토월 2층,02-764-3524
25,서울,서울중구,가족센터,4579,서울시 중구 퇴계로 460 중구종합복지센터 10층,02-2279-3891
26,서울,중랑구,가족센터,2208,서울시 중랑구 용마산로 369,02-435-4142
