연번,공원명,면적,개원일,주요시설,주요식물,지역,공원주소,주소,읍면동명,X좌표(GRS80TM),Y좌표(GRS80TM),X좌표(WGS84),Y좌표(WGS84)
1,남산도시자연공원,2896887㎡ 임 야 : 2454140㎡ 녹지대 및 기타시설 : 442747㎡,1968.9.10,기반시설 : 광장 45950㎡ 도로 108530㎡ 산책로 6.7㎞ (북측:3.7㎞/남측:3.0㎞) 조경시설 : 연못 1개소(1078㎡) 파고라 분수대 그늘시렁 운동시설 : 테니스장 야구장 궁도장 배드민턴장 교양시설 : 도서관 야외식물원 안중근의사 기념관 편익시설 : 주차장 매점 음수대 팔각정 화장실 밴치 타워전망대 기타시설 : 순환도로 18.9㎞,소나무 단풍 아카시아 상수리나무 등 191종 2881870주,중구,서울특별시 중구 삼일대로 231(예장동),중구 삼일대로 231,필동,198364.107,450395.554,126.9903773,37.5501402
2,길동생태공원,80683㎡,1999.5.20,탐방객안내소 야외전시대 관찰대 목재데크 조류관찰대 길동생태문화센터,소나무 보리수 등 64종 31800주 산국 부들 등 138종 192800본,강동구,서울특별시 강동구 천호대로 1291(길동생태공원) ,강동구 천호대로 1291,길동,213554.12,448852.675,127.1547791,37.5403935
4,서울숲,480994㎡,2005.6.18,4개 테마공원: 문화예술공원 자연생태숲 자연체험학습원 습지생태원 주요시설: 가족마당 야외무대 사슴우리 곤충식물원 체육시설 놀이터 산책로 등 ,수 목 : 소나무 섬잣나무 계수나무 외 95종 415795주 식물원 : 선인장 등 231종 7755본 초 화 : 개미취 구절초 갈대 외 8종 3250본,성동구,서울특별시 성동구 뚝섬로 273 (성수동1가) ,성동구 뚝섬로 273,성수1가제1동,203695.432,449290.726,127.0417982,37.5430717
5,월드컵공원,2284085㎡,2002.5.1,평화의 공원 월드컵공원전시관(879㎡) 유니세프광장(2400㎡) 평화광장(5217㎡) 난지연못(24522㎡) 휴게소2개소 화장실 6개소 음수전 2개소 별자리광장(2800㎡) 잔디광장(15110㎡) 야외전시장(5145㎡) 모험놀이터(1133㎡) 피크닉장(멍석20개) 테니스장 2면 평화의정원 1개소 주차장(1242면) 에너지제로하우스 하늘공원 탐방객안내소(103㎡) 풍력발전기 5개소 전망대 20개소 화장실 5개소 음수전 4개소 하늘계단 하늘을 담는 그릇 초지(109567㎡) 난지천공원 인조잔디축구장 게이트볼장(1188㎡) 농구장(420㎡) 음수전 4개소 화장실 5개소 배드민턴장(328㎡) 다목적구장(3240㎡) 장애인놀이터(1591㎡) 어린이놀이터(706㎡) 매점 2개소 잔디광장(16193㎡) 오리연못(3600㎡) 주차장(난지천 196면 임시주차장 250면 장애인주차장 53면) 노을공원 관찰?쉼터데크 전망데크 바람의광장 누에생태체험장 노을캠핑장 파크골프장 노을계단 조각 작품 10 반딧불이 관찰원 커뮤니티센터 난지창작스튜디오 희망의숲 등 매립지 사면 달리기코스(난지순환길 5.8㎞) 수림대 사면녹화 기타시설 지역난방공사 자원회수시설 수소충전시설 수소발전시설 ,,마포구,서울특별시 마포구 하늘공원로 84(월드컵공원),마포구 하늘공원로 84,상암동,190658.07,451598.831,126.878907,37.571805
6,광화문시민열린마당,8948.1㎡,1999.1.1,조 경 시 설 : 육조상징벽 6개소 전통담장 4개소 열주 22조 화계6개소 편 익 시 설 : 화강석의자 35조 관 리 시 설 : 광장등 4본 정원등 23본 투사등 28본 열주내장등 22본 기 반 시 설 : 열린마당 3280㎡ 육조마당 920㎡ 휴게마당 1670㎡ 녹지대 3078㎡ 대형전용 주차장 : 9면 ,수 목 : 소나무 느티나무 배롱나무등 27종 5535주 초 화 : 맥문동 꽃창포 수련등 3692본 ,종로구,서울특별시 종로구 세종로 76-2,종로구 세종로 76-2,청운효자동,198054.179,452832.049,126.9780227,37.5750449
7,진관근린공원(구파발폭포),휴양 및 편익시설 : 평의자 7개 화장실 23.18㎡ 조경시설 - 은하폭포(높이 12m × 폭10m 발원지로부터 17.3m 폭 1.5 ~ 10m 수조 255㎡ 담수량 140t) - 산성폭포(높이 5m×폭 12m 수조 90㎡ 담수량 75t)- 명속의 벽 1개소(높이 5.4m) 교양시설 : 야외공연무대 102㎡ 관리시설 : 관리실 8.55㎡ 전기실 51.03㎡ 기계실 83.36㎡ 안내판 1개 공원 등 18본 휴양시설 : 벤취 12개 ,1997.10.1,폭포 야외무대,수 목 : 소나무 잣나무 주목 느티나무 은행나무 등 29종 6515주 초 화 : 구절초 참나리 비비추 돌나물 벌개미취 등 7종 4358본 ,은평구,서울특별시 은평구 진관동 393,은평구 진관동 393,진관동,192864.424,459694.746,126.9192155,37.6370244
8,중마루근린공원,6456㎥,1997.11.25 ,기반시설 : 광장 200㎡ 산책 등산로 0.50㎞ 편익시설 : 광장  의자 휴지통 음수대 공원등 등 편익시설 : 파고라 연못 1개소(150㎡) 그늘시렁 등 휴양시설 : 정자,수 목 : 소나무 느티나무 외 43종 3580주 초 화 : 비비추 옥잠화외 25종 11580본,영등포구,서울특별시 영등포구 영등포동2가 222,영등포구 영등포동2가 222,영등포동,192162.09,446711.963,126.9112668,37.519832
9,응봉공원,80309㎡ 배수지 시설용량 : 201.000㎥ 송수 펌프용량 : 직송급수계통 30000㎥/일 금호배수지계통 16400㎥/일 ,2003.2.21 ,조경시설 : 파고라 외 222소 운동시설 : 잔디광장 테니스장 2면 게이트볼장 배드민턴장 6면 다목적경기장 등 편익시설 : 음수대 화장실 2동 등 기타시설 : 관리동 등 ,아까시나무 소나무 살구나무 개나리,성동구,서울특별시 성동구 금호동1가 산1-72,성동구 금호동 1가 산 1-72,금호1가동,201884.862,450829.348,127.0217653,37.5572281
10,매화근린공원,1980.4㎡   ,1998.6.18 ,상징조형물 팔각정자 사각파고라 음수전 ,소나무 느티나무 등 29종 9912주  ,강서구,서울특별시 강서구 등촌동 630-14,강서구 등촌동 630-14,등촌제1동,187712.085,450892.604,126.86115,37.5575833
11,성수근린공원,5197.7㎡ ,1998.5.28 ,조경시설 : 그늘시렁 4개소 돌담 2개소(251.31M) 돌담 장식대 84개소 운동시설 : 농구장 176.6㎡ 배드민턴장 2면 편익시설 : 음수대 1개소 벤취 38개소 광장 706㎡ 관리시설 : 공원등 12본 (잔디등 6개소 투시등 2개소),수 목 : 소나무 계수나무 감나무 등 20종 2844주 초 화 : 수호초 꽃잔디 애기나리 등 13종 9980본 ,성동구,서울특별시 성동구 성수2가 3동 302-25,성동구 성수2가 3동 302-25,성수2가제3동,204637.837,449470.206,127.0524023,37.5448144
